Id,UserId,Avatar,Author,Content,Url,ReactionsCount,Depth,SubCommentsCount,CommentAt,Platform,SourceFile,clean_content,word_count,CommentAt_parsed
1,UCgnI4g2NinGoG3RB3vD0iFA,https://yt3.ggpht.com/ytc/AIdro_kx1S6OCnuVxADs8_eeF8cmwtZB-2mv9KkoBLbifF3_VKFhmKemilEL1SeVcrFS-c7LGQ=s88-c-k-c0x00ffffff-no-rj,@LerryHidayat,Mana orams yg tidak triak demo siap perang ....,,0,0,0,,YouTube,youtube_comments.csv,mana orams yg tidak triak demo siap perang,8,
2,UCJX8ABrxD8HhQAcBG6t6lGg,https://yt3.ggpht.com/eyGouifgaal--xdVM1NYdnR6LHGhAqS_wB09gK3xSOXlwp5OFv1oQT1yYf1HQrgB9faoG1pE=s88-c-k-c0x00ffffff-no-rj,@WibowoBudiL,bantuan  hanya cm dage sm bongkrek jelas ditolak mad😂😂😂,,0,0,0,,YouTube,youtube_comments.csv,bantuan hanya cm dage sm bongkrek jelas ditolak mad,9,
3,UCuuRjyDkXOEcx8XPKms-_5w,https://yt3.ggpht.com/ytc/AIdro_mGc5OSwq0RWWz9mXNxtewH9ljL1v-CUOxIuJLdP_Q=s88-c-k-c0x00ffffff-no-rj,@kristiarisuryani8842,"MEREKA MELANGGAR WILALAYAH PERANG ISRAEL...
JADI DITANGKAP ..
UNTUNG GK KENA TEMBAK",,0,0,0,,YouTube,youtube_comments.csv,mereka melanggar wilalayah perang israel jadi ditangkap untung gk kena tembak,11,
4,UCNmMdiMoafYqn3n1fDEsAuA,https://yt3.ggpht.com/ytc/AIdro_k1ClcGWoojc1OqdMjY5kfFzVaVV4WaoGCuKKYH2fKYDpI=s88-c-k-c0x00ffffff-no-rj,@cerita-menarik,Unt apa Prabowo bergabung dgn BOP klo tdk bisa apa2 unt INDONESIA🤔❤🇮🇩,,0,0,0,,YouTube,youtube_comments.csv,unt apa prabowo bergabung dgn bop klo tdk bisa apa2 unt indonesia,12,
5,UCbO4oO8o2yflpcohP7AKBVg,https://yt3.ggpht.com/6fBdHccEyA_KppSuxAmLN5wVTawjx8bkFKRkOB0ZiRxHXYY1ZSdoXezVmWGr57GNhSrHTOhcTtw=s88-c-k-c0x00ffffff-no-rj,@raharjokoerdisalam,"Gak lama juga dibebasin.., kan presidennya besti sama presiden Prabowo 😢",,0,0,0,,YouTube,youtube_comments.csv,gak lama juga dibebasin kan presidennya besti sama presiden prabowo,10,
6,UCcaKFIhaWIwnDPrWqzcLjZw,https://yt3.ggpht.com/ytc/AIdro_ktgf3psRkAgKqgtBrHqhFCpTwn8CtlBGMPzkRqQ28gVAm_OArHXAgXv_ztPUnBWg1sIA=s88-c-k-c0x00ffffff-no-rj,@RugunNa70,Mrk ditangkap bukan diculik. Yg suka nyulik tni. Ini resmi dia menangkap. Klu nyulik itu dilakukan diam2. Ini media israel sendiri umumkan. He he konoha2. Yg suka nyulik itu hamas,,0,0,0,,YouTube,youtube_comments.csv,mrk ditangkap bukan diculik yg suka nyulik tni ini resmi dia menangkap klu nyulik itu dilakukan diam2 ini media israel sendiri umumkan he he konoha2 yg suka nyulik itu hamas,30,
7,UCgRihIaZnVFDISbbzK6CyQw,https://yt3.ggpht.com/1WJVZBPk8KDp2N67YSnqHvfPqHqF6TsHaToaYLbILKunKcGZ8Z5tjtG-YdnZ5kLl38Lqon-xWg=s88-c-k-c0x00ffffff-no-rj,@Vebrii27,Dunia mengecam tapi sy tdk,,0,0,0,,YouTube,youtube_comments.csv,dunia mengecam tapi sy tdk,5,
8,UClJ1eu0UlBIoHMQ8azgtU3w,https://yt3.ggpht.com/ytc/AIdro_nX6uF4gU8Lo_Uy7QCzyRLukJBUW3LQtAg2LFIdS9uk3TzTi81ldpp-mp8bVl_n17DE1Q=s88-c-k-c0x00ffffff-no-rj,@EgiWaluyo-y9s,😂😂😂 masuk wilayah konflik pasti di anggap penyusup😂😂,,0,0,0,,YouTube,youtube_comments.csv,masuk wilayah konflik pasti di anggap penyusup,7,
9,UCgRihIaZnVFDISbbzK6CyQw,https://yt3.ggpht.com/1WJVZBPk8KDp2N67YSnqHvfPqHqF6TsHaToaYLbILKunKcGZ8Z5tjtG-YdnZ5kLl38Lqon-xWg=s88-c-k-c0x00ffffff-no-rj,@Vebrii27,Israel tdk mau kecolongan lagi setiap org yg masuk daerah konflik harus di periksa dan di interogasi atau terafiliasi dg teroris apabila clear akan di bebaskan,,0,0,0,,YouTube,youtube_comments.csv,israel tdk mau kecolongan lagi setiap org yg masuk daerah konflik harus di periksa dan di interogasi atau terafiliasi dg teroris apabila clear akan di bebaskan,26,
10,UCpWkctkp7x5clot3gcv93Vg,https://yt3.ggpht.com/ytc/AIdro_lb-9ymAQQEJsl5rSucrmYWE12vQrLj-p9NkMmTo1DNL4o0eje5ZMg1sC07WiAJVniy3Q=s88-c-k-c0x00ffffff-no-rj,@sebatangpohon3609,"Ke 9 wni teroris itu dideportasi ISRAEL, tidak ada kontribusi turki.",,0,0,0,,YouTube,youtube_comments.csv,ke 9 wni teroris itu dideportasi israel tidak ada kontribusi turki,11,
11,UCP3Jljqp0sKTD-l7B-rCccg,https://yt3.ggpht.com/xEdVbUBiSYVcq3WMa3emgw9YJkz9Usr8Op5uaxmiTO3HUyO72U18pOvwTszq6KFa2e_koU33=s88-c-k-c0x00ffffff-no-rj,@Deus_benedicat,"Mengecam.....??? Sejak kapan dunia mengecam, jangan jadi provokator tv oon...salah mereka kok menyusup ke negara orang...kondisi konflik lagi...",,0,0,0,,YouTube,youtube_comments.csv,mengecam sejak kapan dunia mengecam jangan jadi provokator tv oon salah mereka kok menyusup ke negara orang kondisi konflik lagi,20,
12,UCS4mv2bbkVzHjuH88CqV8Ow,https://yt3.ggpht.com/ytc/AIdro_nZnBYdbbSKzxA_3dH2cbWAwmC84HZnbbEnElweAUs=s88-c-k-c0x00ffffff-no-rj,@mujilanjilan8293,Datang sendiri resiko tanggung sendiri ya ....ngapain ngurusi negara lain di indonesia saja banyak yg susah,,0,0,0,,YouTube,youtube_comments.csv,datang sendiri resiko tanggung sendiri ya ngapain ngurusi negara lain di indonesia saja banyak yg susah,16,
13,UCkiVJ3tS20JlUlDklL2EmkQ,https://yt3.ggpht.com/ytc/AIdro_kAvXwKhF9W-758960a9XjLrXxvSdrZkX4XZl0vZ0CotMcCwuJe0HKveyMX8NMWQ9UFfw=s88-c-k-c0x00ffffff-no-rj,@MustafaKamal-r7x,Seharusnya bantuan lewat prosedur yg sdh ada jd biar tdk ada masalah,,0,0,0,,YouTube,youtube_comments.csv,seharusnya bantuan lewat prosedur yg sdh ada jd biar tdk ada masalah,12,
14,UCQqvqg5bH_o3LylL7U-t2Pw,https://yt3.ggpht.com/ytc/AIdro_kT64k4rg8us54JGPNfusGgnuSHZa0iZaRzPmxQj6Mb1Hw=s88-c-k-c0x00ffffff-no-rj,@sutrisna1266,Allahu Akbar... Kuatkan hati sodara kami,,0,0,0,,YouTube,youtube_comments.csv,allahu akbar kuatkan hati sodara kami,6,
